NAME                                VERSION                         TYPE                     
@isaacs/cliui                       8.0.2                           npm                      
@isaacs/string-locale-compare       1.1.0                           npm                      
@npmcli/agent                       2.2.2                           npm                      
@npmcli/arborist                    7.5.4                           npm                      
@npmcli/config                      8.3.4                           npm                      
@npmcli/fs                          3.1.1                           npm                      
@npmcli/git                         5.0.8                           npm                      
@npmcli/installed-package-contents  2.1.0                           npm                      
@npmcli/map-workspaces              3.0.6                           npm                      
@npmcli/metavuln-calculator         7.1.1                           npm                      
@npmcli/name-from-folder            2.0.0                           npm                      
@npmcli/node-gyp                    3.0.0                           npm                      
@npmcli/package-json                5.2.0                           npm                      
@npmcli/promise-spawn               7.0.2                           npm                      
@npmcli/query                       3.1.0                           npm                      
@npmcli/redact                      2.0.1                           npm                      
@npmcli/run-script                  8.1.0                           npm                      
@pkgjs/parseargs                    0.11.0                          npm                      
@sigstore/bundle                    2.3.2                           npm                      
@sigstore/core                      1.1.0                           npm                      
@sigstore/protobuf-specs            0.3.2                           npm                      
@sigstore/sign                      2.3.2                           npm                      
@sigstore/tuf                       2.3.4                           npm                      
@sigstore/verify                    1.2.1                           npm                      
@socket.io/component-emitter        3.1.0                           npm                      
@tufjs/canonical-json               2.0.0                           npm                      
@tufjs/models                       2.0.1                           npm                      
@types/cookie                       0.4.1                           npm                      
@types/cors                         2.8.14                          npm                      
@types/node                         20.6.2                          npm                      
abbrev                              2.0.0                           npm                      
accepts                             1.3.8                           npm                      
adduser                             3.134                           deb                      
agent-base                          7.1.1                           npm                      
aggregate-error                     3.1.0                           npm                      
ansi-regex                          5.0.1                           npm                      
ansi-regex                          6.0.1                           npm     (+1 duplicate)   
ansi-styles                         4.3.0                           npm                      
ansi-styles                         6.2.1                           npm                      
anymatch                            3.1.3                           npm                      
aproba                              2.0.0                           npm                      
apt                                 2.6.1                           deb                      
archy                               1.0.0                           npm                      
array-flatten                       1.1.1                           npm                      
async                               3.2.4                           npm                      
balanced-match                      1.0.2                           npm     (+1 duplicate)   
base-files                          12.4+deb12u11                   deb                      
base-passwd                         3.6.1                           deb                      
base64id                            2.0.0                           npm                      
bash                                5.2.15-2+b8                     deb                      
bin-links                           4.0.4                           npm                      
binary-extensions                   2.3.0                           npm     (+1 duplicate)   
body-parser                         1.20.1                          npm                      
brace-expansion                     1.1.12                          npm                      
brace-expansion                     2.0.1                           npm                      
braces                              3.0.3                           npm                      
bsdutils                            1:2.38.1-5+deb12u3              deb                      
buffer-writer                       2.0.0                           npm                      
bytes                               3.1.2                           npm                      
cacache                             18.0.3                          npm                      
call-bind                           1.0.2                           npm                      
chalk                               5.3.0                           npm                      
chokidar                            3.6.0                           npm                      
chownr                              2.0.0                           npm                      
ci-info                             4.0.0                           npm                      
cidr-regex                          4.1.1                           npm                      
clean-stack                         2.2.0                           npm                      
cli-columns                         4.0.0                           npm                      
cmd-shim                            6.0.3                           npm                      
color-convert                       2.0.1                           npm                      
color-name                          1.1.4                           npm                      
common-ancestor-path                1.0.1                           npm                      
concat-map                          0.0.1                           npm                      
content-disposition                 0.5.4                           npm                      
content-type                        1.0.5                           npm                      
cookie                              0.4.1                           npm                      
cookie                              0.5.0                           npm                      
cookie-parser                       1.4.6                           npm                      
cookie-signature                    1.0.6                           npm                      
corepack                            0.32.0                          npm                      
coreutils                           9.1-1                           deb                      
cors                                2.8.5                           npm                      
cross-spawn                         7.0.3                           npm                      
cssesc                              3.0.0                           npm                      
curl                                7.88.1-10+deb12u12              deb                      
dash                                0.5.12-2                        deb                      
debconf                             1.5.82                          deb                      
debian-archive-keyring              2023.3+deb12u2                  deb                      
debianutils                         5.7-0.5~deb12u1                 deb                      
debug                               2.6.9                           npm                      
debug                               3.1.0                           npm                      
debug                               4.3.4                           npm     (+2 duplicates)  
debug                               4.3.5                           npm                      
debug                               4.4.1                           npm                      
depd                                2.0.0                           npm                      
destroy                             1.2.0                           npm                      
diff                                5.2.0                           npm                      
diffutils                           1:3.8-4                         deb                      
dpkg                                1.21.22                         deb                      
e2fsprogs                           1.47.0-2                        deb                      
eastasianwidth                      0.2.0                           npm                      
ee-first                            1.1.1                           npm                      
emoji-regex                         8.0.0                           npm                      
emoji-regex                         9.2.2                           npm     (+1 duplicate)   
encodeurl                           1.0.2                           npm                      
encoding                            0.1.13                          npm                      
engine.io                           6.5.2                           npm                      
engine.io-parser                    5.2.1                           npm                      
engine.io-parser                    UNKNOWN                         npm     (+1 duplicate)   
env-paths                           2.2.1                           npm                      
err-code                            2.0.3                           npm                      
escape-html                         1.0.3                           npm                      
etag                                1.8.1                           npm                      
exponential-backoff                 3.1.1                           npm                      
express                             4.18.2                          npm                      
fastest-levenshtein                 1.0.16                          npm                      
fill-range                          7.1.1                           npm                      
finalhandler                        1.2.0                           npm                      
findutils                           4.9.0-4                         deb                      
foreground-child                    3.2.1                           npm                      
forwarded                           0.2.0                           npm                      
fresh                               0.5.2                           npm                      
fs-minipass                         2.1.0                           npm                      
fs-minipass                         3.0.3                           npm                      
function-bind                       1.1.1                           npm                      
gcc-12-base                         12.2.0-14+deb12u1               deb                      
get-intrinsic                       1.2.1                           npm                      
glob                                10.4.2                          npm                      
glob-parent                         5.1.2                           npm                      
gpgv                                2.2.40-1.1                      deb                      
graceful-fs                         4.2.11                          npm                      
grep                                3.8-5                           deb                      
gzip                                1.12-1                          deb                      
has                                 1.0.3                           npm                      
has-flag                            3.0.0                           npm                      
has-proto                           1.0.1                           npm                      
has-symbols                         1.0.3                           npm                      
hosted-git-info                     7.0.2                           npm                      
hostname                            3.23+nmu1                       deb                      
http-cache-semantics                4.1.1                           npm                      
http-errors                         2.0.0                           npm                      
http-proxy-agent                    7.0.2                           npm                      
https-proxy-agent                   7.0.5                           npm                      
iconv-lite                          0.4.24                          npm                      
iconv-lite                          0.6.3                           npm                      
ignore-by-default                   1.0.1                           npm                      
ignore-walk                         6.0.5                           npm                      
imurmurhash                         0.1.4                           npm                      
indent-string                       4.0.0                           npm                      
inherits                            2.0.4                           npm                      
ini                                 4.1.3                           npm                      
init-package-json                   6.0.3                           npm                      
init-system-helpers                 1.65.2                          deb                      
ip-address                          9.0.5                           npm                      
ip-regex                            5.0.0                           npm                      
ipaddr.js                           1.9.1                           npm                      
is-binary-path                      2.1.0                           npm                      
is-cidr                             5.1.0                           npm                      
is-extglob                          2.1.1                           npm                      
is-fullwidth-code-point             3.0.0                           npm                      
